Course Code,Group ID,Rec_ Yr_level
BIOL_V 121,,1
ENVR_V 100,,1
CHEM_V 121,CHEM_OR_1,1
CHEM_V 111,CHEM_OR_1,1
CHEM_V 141,CHEM_OR_1,1
SCIE_V 113,,1
DSCI_V 100,,1
MATH_V 100,MATH_OR_1,1
MATH_V 102,MATH_OR_1,1
MATH_V 104,MATH_OR_1,1
MATH_V 180,MATH_OR_1,1
MATH_V 184,MATH_OR_1,1
MATH_V 120,MATH_OR_1,1
MATH_V 101,MATH_OR_2,1
MATH_V 103,MATH_OR_2,1
MATH_V 105,MATH_OR_2,1
MATH_V 121,MATH_OR_2,1
PHYS_V 100-level,,1
ENVR_V 200,,2
ENVR_V 205,,2
ENVR_V 240,,2
EOSC_V 340,,2
STAT_V 200,STAT_OR_1,2
STAT_V 201,STAT_OR_1,2
BIOL_V 300,STAT_OR_1,2
ENVR_V 300,,3 or 4
ENVR_V 305,,3 or 4
ENVR_V 350,,3 or 4
ENVR_V 400,,3 or 4
ENVR_V 450,,3 or 4
EOSC_V 345,,3 or 4